id,cvi_score,extreme,climate_health
46,0.3464116435,0.4070760257,0.3406707717
757,0.3984770776,0.5265692501,0.2856373638
1678,0.3984770776,0.5265692501,0.2856373638
2176,0.673174767,0.5257524059,0.7725086638
2713,0.3735812058,0.3932108418,0.3830723442
4109,0.3984770776,0.5265692501,0.2856373638
4350,0.6913316149,0.5988070561,0.7703378163
5758,0.3984770776,0.5265692501,0.2856373638
8204,0.6655462072,0.4633751577,0.8464500892
8420,0.3091375441,0.3052451088,0.2578798862
8718,0.6637660073,0.526179999,0.813061061
9213,0.6693482468,0.4814746175,0.9065553542
12340,0.6617610296,0.4842775342,0.6838885667
13351,0.6744649054,0.5148948719,0.9106609764
14552,0.3976007454,0.3598409968,0.476676871
14874,0.3331036307,0.2297206896,0.3004726319
18554,0.6085734663,0.4231336477,0.7812922147
18732,0.6637660073,0.526179999,0.813061061
19161,0.667868404,0.5218827359,0.87707756
19291,0.6744649054,0.5148948719,0.9106609764
21015,0.3984770776,0.5265692501,0.2856373638
21445,0.3984770776,0.5265692501,0.2856373638
22170,0.6637660073,0.526179999,0.813061061
23735,0.3984770776,0.5265692501,0.2856373638
23954,0.6959244732,0.5839761339,0.7872910771
28006,0.6581221629,0.6128524392,0.7837970264
28861,0.6693482468,0.4814746175,0.9065553542
28969,0.5120737475,0.4525402728,0.28358717
29491,0.3868192181,0.4637572095,0.3614694239
30917,0.6085734663,0.4231336477,0.7812922147
32842,0.3899905747,0.4991296329,0.3272065693
33307,0.3331036307,0.2297206896,0.3004726319
34330,0.3808825616,0.5278460817,0.2662451218
36383,0.6581221629,0.6128524392,0.7837970264
36603,0.3984770776,0.5265692501,0.2856373638
38678,0.3899905747,0.4991296329,0.3272065693
39641,0.3663078404,0.2805670792,0.3446282741
40073,0.6617610296,0.4842775342,0.6838885667
40909,0.6693482468,0.4814746175,0.9065553542
42515,0.3331036307,0.2297206896,0.3004726319
43614,0.3591828768,0.5163072676,0.2764861157
45206,0.6693482468,0.4814746175,0.9065553542
46493,0.3690175609,0.5143988316,0.2436572574
49224,0.6617610296,0.4842775342,0.6838885667
49500,0.3984770776,0.5265692501,0.2856373638
52407,0.6617610296,0.4842775342,0.6838885667
52889,0.6750714464,0.531631646,0.7892441757
54076,0.6693482468,0.4814746175,0.9065553542
56091,0.3491693811,0.4522338524,0.332597819
62875,0.3663078404,0.2805670792,0.3446282741
64039,0.3491693811,0.4522338524,0.332597819
64334,0.6693482468,0.4814746175,0.9065553542
64995,0.3331036307,0.2297206896,0.3004726319
66056,0.6655462072,0.4633751577,0.8464500892
67877,0.673174767,0.5257524059,0.7725086638
68770,0.6693482468,0.4814746175,0.9065553542
70585,0.3663078404,0.2805670792,0.3446282741
