id,Sample_ID
46,DP1036
757,DP1062
1678,DP1017
2176,DP1179
2713,DP1025
4109,DP1002
4350,DP1137
5758,DP1073
8204,DP1116
8420,DP1009
8718,DP1103
9213,DP1146
12340,DP1191
13351,DP1148
14552,DP1096
14874,DP1095
18554,DP1134
18732,DP1172
19161,DP1140
19291,DP1144
21015,DP1055
21445,DP1013
22170,DP1175
23735,DP1045
23954,DP1151
28006,DP1142
28861,DP1185
28969,DP1006
29491,DP1092
30917,DP1167
32842,DP1019
33307,DP1029
34330,DP1014
36383,DP1113
36603,DP1031
38678,DP1021
39641,DP1085
40073,DP1150
40909,DP1189
42515,DP1074
43614,DP1048
45206,DP1154
46493,DP1004
49224,DP1160
49500,DP1005
52407,DP1125
52889,DP1136
54076,DP1159
56091,DP1081
62875,DP1088
64039,DP1065
64334,DP1184
64995,DP1089
66056,DP1105
67877,DP1187
68770,DP1165
70585,DP1041
71836,DP1056
72044,DP1012
73479,DP1169
74231,DP1067
74619,DP1053
75486,DP1090
75889,DP1104
80133,DP1121
86874,DP1108
88165,DP1001
89064,DP1157
89203,DP1075
90856,DP1158
93199,DP1064
94480,DP1106
96130,DP1190
103137,DP1153
103593,DP1161
103683,DP1033
105240,DP1011
105734,DP1141
106798,DP1063
107236,DP1110
108632,DP1117
110777,DP1180
112235,DP1149
112636,DP1010
114065,DP1100
115011,DP1087
115741,DP1066
119786,DP1050
121048,DP1198
122156,DP1022
122223,DP1079
122793,DP1035
124313,DP1152
126115,DP1076
126773,DP1101
126817,DP1069
127041,DP1007
128867,DP1072
133580,DP1111
136054,DP1197
137897,DP1027
138189,DP1114
138361,DP1094
141323,DP1174
141701,DP1003
142168,DP1163
142404,DP1042
142619,DP1178
142884,DP1176
145600,DP1194
148263,DP1091
148808,DP1051
153134,DP1155
154075,DP1182
154656,DP1086
156702,DP1043
157674,DP1097
159276,DP1044
165013,DP1118
166377,DP1138
171578,DP1124
172696,DP1145
174732,DP1038
175472,DP1058
177707,DP1020
178232,DP1083
182182,DP1120
183976,DP1102
185865,DP1188
188330,DP1016
193611,DP1034
193806,DP1164
196031,DP1139
196474,DP1168
197500,DP1046
199140,DP1059
200193,DP1082
200202,DP1057
200933,DP1183
204563,DP1123
205349,DP1133
205554,DP1039
206981,DP1015
209661,DP1099
210137,DP1122
212213,DP1018
212885,DP1060
214122,DP1143
214227,DP1126
214798,DP1024
215620,DP1107
219133,DP1054
219417,DP1077
219842,DP1032
223242,DP1181
223349,DP1131
224196,DP1196
224239,DP1128
225115,DP1040
228282,DP1119
228604,DP1193
228774,DP1132
229434,DP1127
230799,DP1156
232077,DP1093
232202,DP1071
233100,DP1068
234095,DP1078
237350,DP1166
239043,DP1098
239864,DP1070
242188,DP1147
242349,DP1129
245142,DP1037
248368,DP1049
251085,DP1047
251837,DP1130
252243,DP1192
258361,DP1008
260111,DP1115
260798,DP1080
266083,DP1109
267510,DP1061
270299,DP1030
270541,DP1162
272720,DP1084
273151,DP1177
273567,DP1023
273923,DP1052
274231,DP1199
275577,DP1026
275648,DP1171
275907,DP1028
276556,DP1186
277817,DP1170
278687,DP1135
279720,DP1112
289898,DP1200
300329,DP1195
301830,DP1173
