Outcome,Predictor,Coef,StdError,t_value,p_value,FDR,logPval
first_z_mocam,MT.CO1_heteroplasmic,-1.51185723960201,0.527541402440366,-2.86585513972604,0.00470418514989314,0.0810048764105618,2.32751559339567
first_z_mocam,MT.ND1_heteroplasmic,-2.63708360855887,0.983780256931588,-2.68056162946788,0.00810048764105618,0.0810048764105618,2.09148883625157
first_z_mocam,MT.DLOOP2_heteroplasmic,-2.25609925568963,0.994783772982617,-2.2679292897242,0.0246384996681651,0.164256664454434,1.60838574154314
first_comp_overall2,MT.ND2_heteroplasmic,0.879712283323737,0.388826505395882,2.26248023505512,0.024933634117673,0.498672682353461,1.60321441775663
first_z_moca,MT.CO1_heteroplasmic,-0.996900713890426,0.513776379379659,-1.9403397156835,0.0540535935709659,0.629121624405454,1.26717542814616
first_comp_memory2,MT.CO2_heteroplasmic,1.17532098344338,0.63754378987591,1.84351412735452,0.0669949718138239,0.787774007806633,1.1739577912612
first_z_moca,MT.DLOOP2_heteroplasmic,-1.72934234031576,0.961677502472303,-1.79825600148691,0.0739756921185944,0.629121624405454,1.1309109628773
first_z_mocam,MT.ND6_heteroplasmic,-1.36629407408685,0.798053197245436,-1.71203383283566,0.088780662578781,0.443903312893905,1.0516816181163
first_z_wld,MT.TN_heteroplasmic,-1.81789135500476,1.09307680122914,-1.66309572480231,0.0981357821810699,0.793069648447689,1.00817261167863
first_z_moca,MT.ND1_heteroplasmic,-1.58456663873022,0.95819407162902,-1.65370115057831,0.100101095440049,0.629121624405454,0.999561169863685
first_z_af,MT.ND2_heteroplasmic,0.708399644780978,0.435918660649639,1.62507299808012,0.105999517692417,0.863859164165951,0.974696110810687
first_comp_memory2,MT.CO3_heteroplasmic,0.572601574695235,0.373901904308932,1.53142192670442,0.127523910954702,0.787774007806633,0.894408376625498
first_comp_fluency,MT.ND2_heteroplasmic,0.595984659092581,0.398928758419951,1.49396263496549,0.137039159363932,0.953831321247456,0.863155314116725
first_comp_overall,MT.ND2_heteroplasmic,0.560803481788323,0.380744364155047,1.47291341536431,0.142623460907963,0.738851101040674,0.845809029148911
first_z_mocam,MT.TF_heteroplasmic,-2.04473998436021,1.42107189122489,-1.43887159895743,0.152092680362619,0.49372616826556,0.817891686371831
first_z_lf,MT.TN_heteroplasmic,-1.26310972754237,0.891604078753185,-1.41667109610882,0.158408977266595,0.965226621188362,0.80022020995064
first_comp_memory,MT.CO2_heteroplasmic,0.873222553148838,0.630651378800372,1.38463592168765,0.167978454582761,0.906561741492892,0.774746418606718
first_z_wld,MT.TF_heteroplasmic,-1.51083074398422,1.10402749139227,-1.36847203150616,0.172970153250943,0.793069648447689,0.762028829800121
first_z_moca,MT.DLOOP1_heteroplasmic,-0.599535672788998,0.440418349452718,-1.36128677093951,0.175290492886466,0.629121624405454,0.756241637807589
first_comp_memory2,MT.ND2_heteroplasmic,0.564999892563915,0.415861390391138,1.35862550748581,0.176065300784131,0.787774007806633,0.75432622701318
first_comp_memory2,MT.ND1_heteroplasmic,-0.848179025927171,0.628350942429893,-1.34984921427376,0.178858985123321,0.787774007806633,0.747489237838405
first_z_wld,MT.CO2_heteroplasmic,0.862808052435257,0.64206667269144,1.34379822085844,0.180804433530327,0.793069648447689,0.742790924335495
first_z_af,MT.RNR1_heteroplasmic,-0.527382516793248,0.395055176067745,-1.33495913670249,0.183674707001861,0.863859164165951,0.735950644270173
first_comp_overall,MT.TN_heteroplasmic,-1.33074401821581,1.002170750867,-1.32786156157975,0.186004008898209,0.738851101040674,0.730477695440102
first_z_af,MT.ATP6_heteroplasmic,-0.848437694196804,0.664022712139968,-1.27772390715751,0.203088842435606,0.863859164165951,0.692313935786499
first_z_moca,MT.CYB_heteroplasmic,-0.507282599829624,0.397582099439543,-1.27591911342267,0.203788237135086,0.629121624405454,0.690820887526629
first_z_wll,MT.CO3_heteroplasmic,0.509823680221593,0.403462645257249,1.2636205264964,0.208096343814183,0.888289967125974,0.681735550135677
first_z_mocam,MT.CYB_heteroplasmic,-0.522013245964215,0.413654984321869,-1.26195323578654,0.208757384749847,0.49372616826556,0.680358152494027
first_z_lf,MT.ATP8_heteroplasmic,-0.810546503117543,0.642647874524148,-1.26126069228458,0.208942964891184,0.965226621188362,0.679972246967706
first_z_wll,MT.CO2_heteroplasmic,0.869672216847252,0.690064065235966,1.26027750271255,0.209296438890278,0.888289967125974,0.679238160975498
first_comp_overall2,MT.TN_heteroplasmic,-1.29545930631353,1.03274339945431,-1.25438643035436,0.211423539033354,0.825400548128407,0.674846661762806
first_z_mocam,MT.ND3_heteroplasmic,1.72746702461093,1.39140237140257,1.24152945266982,0.216182963503721,0.49372616826556,0.665178534008305
first_z_moca,MT.ND4_heteroplasmic,-0.843794671067144,0.680071914035907,-1.2407433003072,0.21647257645687,0.629121624405454,0.664597113850192
first_z_wld,MT.CO1_heteroplasmic,-0.458494090781915,0.370320556255355,-1.23810056729813,0.217385854592868,0.793069648447689,0.66276871909117
first_z_moca,MT.ND6_heteroplasmic,-0.948143084732809,0.770401690310682,-1.23071262259361,0.220192568541909,0.629121624405454,0.657197342474638
first_z_lf,MT.ND6_heteroplasmic,-0.613487640089786,0.507651971454633,-1.20848075962729,0.228540676172682,0.965226621188362,0.641036492026601
first_comp_memory2,MT.CO1_heteroplasmic,-0.441559917870104,0.369525589237634,-1.19493732161035,0.233775910104218,0.787774007806633,0.631200243592628
first_comp_fluency,MT.TN_heteroplasmic,-1.25338648569302,1.05127127784095,-1.19225789966141,0.23482172581987,0.953831321247456,0.629261724429589
first_z_af,MT.TI_heteroplasmic,1.34645858238562,1.12984868533966,1.19171584642845,0.235033702594226,0.863859164165951,0.628869857723053
first_comp_fluency,MT.ND5_heteroplasmic,0.385158419221993,0.323585558285697,1.19028309317171,0.235594656850952,0.953831321247456,0.627834563318133
first_z_mocam,MT.TN_heteroplasmic,-1.63871058723667,1.41838019318686,-1.15533944643908,0.249631941288659,0.49372616826556,0.602699845921142
first_z_mocam,MT.DLOOP1_heteroplasmic,-0.530139822407641,0.458891758190446,-1.15526115460898,0.249663899090913,0.49372616826556,0.602644251237312
first_comp_fluency,MT.RNR1_heteroplasmic,-0.406742739243748,0.361649134066522,-1.12468882386134,0.262306404484901,0.953831321247456,0.581191105526704
first_comp_memory,MT.TF_heteroplasmic,-1.21914261261123,1.08669368117908,-1.12188248972649,0.263494515000594,0.906561741492892,0.579228420792112
first_z_af,MT.ND5_heteroplasmic,0.394782485429188,0.354189173245569,1.11460912769198,0.266591237700498,0.863859164165951,0.574154129043915
first_comp_overall,MT.ND4_heteroplasmic,-0.55515330006779,0.503386620153813,-1.10283682132465,0.271656799583429,0.738851101040674,0.565979420081374
first_z_lf,MT.TI_heteroplasmic,-0.96165047949647,0.877954996395825,-1.09533003792248,0.274921437751953,0.965226621188362,0.560791393534595
first_comp_memory2,MT.DLOOP1_heteroplasmic,-0.356832340351467,0.325804145589732,-1.09523572729737,0.274962623823973,0.787774007806633,0.560726336606807
first_comp_memory2,MT.TF_heteroplasmic,-1.20667360784721,1.10349555411343,-1.09350110505581,0.275720902732321,0.787774007806633,0.559530308260601
first_comp_overall,MT.ND5_heteroplasmic,0.336847535833471,0.308985366736693,1.09017310234151,0.277179744151201,0.738851101040674,0.557238510441137
first_z_mocam,MT.CO2_heteroplasmic,0.901803441917918,0.827722098112196,1.08950026098697,0.277531653735919,0.49372616826556,0.556687476473358
first_comp_overall2,MT.ATP8_heteroplasmic,-0.808305322994271,0.744332379094324,-1.08594674327857,0.279040017758399,0.825400548128407,0.55433350910857
first_comp_overall,MT.ATP8_heteroplasmic,-0.780934262957974,0.722721615814497,-1.08054643153003,0.281429459168861,0.738851101040674,0.550630443913218
first_comp_memory,MT.CO3_heteroplasmic,0.397807768514534,0.369550717241867,1.07646325647414,0.283245389497188,0.906561741492892,0.547837150598639
first_z_mocam,MT.ND4_heteroplasmic,-0.753027247654224,0.708365603545698,-1.06304886048246,0.289322595269813,0.49372616826556,0.538617647866696
first_comp_overall2,MT.CYB_heteroplasmic,-0.306857915547355,0.290649664485138,-1.05576559357441,0.292573393732241,0.825400548128407,0.533765170625789
first_comp_overall2,MT.CO3_heteroplasmic,0.371797038713975,0.354188165418128,1.04971615377114,0.295338617793316,0.825400548128407,0.529679761981784
first_comp_overall2,MT.ND5_heteroplasmic,0.333652170517045,0.318319016176915,1.04816914340929,0.296048588897247,0.825400548128407,0.52863700462285
first_comp_overall2,MT.DLOOP1_heteroplasmic,-0.321294708707529,0.307608615856864,-1.04449190349413,0.297740810488028,0.825400548128407,0.526161633760983
first_z_wld,MT.CYB_heteroplasmic,-0.313406569957551,0.308772859709343,-1.01500685731437,0.311544965536528,0.793069648447689,0.506479262407522
first_z_lf,MT.CO1_heteroplasmic,-0.303592237362893,0.301859067132377,-1.00574165370277,0.315969251383678,0.965226621188362,0.500355178787119
first_z_mocam,MT.TI_heteroplasmic,-1.39729044781081,1.3902608583456,-1.00505630970117,0.316350338492442,0.49372616826556,0.499831696512811
