Outcome,Predictor,Coef,StdError,DF,t_value,p_value,FDR,logPval,sig
z_lf,MT.ND6_heteroplasmic,-1.23150913007201,0.43987904253,136.078788621691,-2.799654020771,0.00586012065254804,0.117202413050961,2.23209344231016,yes
z_lf,MT.ND4_heteroplasmic,-1.11405180504548,0.464615144310412,142.590948659378,-2.39779486030092,0.0177884052508581,0.177884052508581,1.74986298512558,yes
comp_fluency,MT.ND4_heteroplasmic,-1.01154596781488,0.427127215002914,141.810938905235,-2.36825454404253,0.0192213762836757,0.288607798799361,1.71621551932061,yes
z_mocam,MT.CO1_heteroplasmic,-0.850166066467929,0.375037187250303,131.617437773893,-2.26688471268989,0.0250282021881186,0.424980877156502,1.60157034527077,yes
z_lf,MT.ATP8_heteroplasmic,-1.38213513745218,0.637083085410844,203.39588965697,-2.16947391808536,0.0312061770822839,0.20804118054856,1.50575943139108,yes
z_mocam,MT.ND1_heteroplasmic,-1.38814510549049,0.676782753158594,116.624366430726,-2.05109409040334,0.0424980877156502,0.424980877156502,1.37163061143735,yes
z_lf,MT.DLOOP1_heteroplasmic,-0.613267144216959,0.303959634213536,158.016199995006,-2.01759403285151,0.0453260653920435,0.226630326960218,1.34365197899312,yes
comp_fluency,MT.CO1_heteroplasmic,-0.540584660500201,0.269754324711899,162.540964281791,-2.0039888557025,0.0467322747674486,0.288607798799361,1.33038307848979,yes
comp_fluency,MT.ND6_heteroplasmic,-0.806046334297163,0.412549645099142,138.045519621284,-1.95381657425364,0.0527447502831993,0.288607798799361,1.27782075947094,no
z_af,MT.TQ_heteroplasmic,-1.4956620339873,0.788752709850002,124.1475056825,-1.89623695146699,0.0602527469689816,0.378928652369197,1.22002314848296,no
z_af,MT.ND4_heteroplasmic,-0.914952381482962,0.490874937764888,138.137264954604,-1.86392156350258,0.0644554140601459,0.378928652369197,1.19074059735337,no
comp_fluency,MT.CO3_heteroplasmic,-0.496059775260031,0.268713023324947,147.809866261603,-1.84605780963642,0.066884122495311,0.288607798799361,1.17467696640355,no
z_wld,MT.ND2_heteroplasmic,0.729672787185921,0.396779313005034,128.731698105887,1.83898898775669,0.0682212070771876,0.979590438687123,1.16608060063774,no
z_af,MT.ND1_heteroplasmic,-0.891870770457769,0.492427626016274,158.40869171513,-1.81117127337672,0.0720088884712676,0.378928652369197,1.14261389279415,no
z_moca,MT.CO1_heteroplasmic,-0.689346110717026,0.380020543744032,125.488533328741,-1.81397064465374,0.0720714827867831,0.903207465648308,1.1422365427457,no
comp_overall2,MT.ND6_heteroplasmic,-0.700633871942815,0.387537364531501,132.267973768146,-1.80791308417401,0.0728922269793853,0.643267511003603,1.13731878114631,no
comp_overall2,MT.CO1_heteroplasmic,-0.457766778065065,0.25376426599966,158.290628097433,-1.80390559033902,0.0731475539356577,0.643267511003603,1.13580019216352,no
z_af,MT.CO1_heteroplasmic,-0.552277251524821,0.30899212411287,159.000094824948,-1.78735057765771,0.0757857304738394,0.378928652369197,1.12041255900991,no
comp_fluency,MT.ND1_heteroplasmic,-0.765086202646996,0.431482936617434,162.463239282892,-1.77315517652867,0.0780767076333774,0.288607798799361,1.10747850844079,no
comp_fluency,MT.ATP8_heteroplasmic,-0.971803597865892,0.563987475523373,180.677780818907,-1.7230942885107,0.0865823396398082,0.288607798799361,1.06257068279949,no
z_lf,MT.CO1_heteroplasmic,-0.511166844802216,0.305633646060359,180.426242868362,-1.67248223941047,0.0961624089554613,0.363228190928114,1.01699466573485,no
comp_memory,MT.ND2_heteroplasmic,0.653714787181416,0.394729120605007,129.175076437838,1.65610985624637,0.100126824782304,0.947753673522063,0.999449555944774,no
comp_overall2,MT.DLOOP1_heteroplasmic,-0.439127274202536,0.265475665904199,154.84080476708,-1.65411497399163,0.100129951639185,0.643267511003603,0.999435993590344,no
z_lf,MT.CO3_heteroplasmic,-0.482399456258902,0.299238146261144,155.593848464729,-1.61209211554838,0.108968457278434,0.363228190928114,0.962699197586031,no
comp_overall,MT.DLOOP1_heteroplasmic,-0.425160667145095,0.267196182731975,155.952282677815,-1.5911928935436,0.113591196284308,0.762117430975978,0.944655326664656,no
comp_overall,MT.CO1_heteroplasmic,-0.405008037600414,0.256227871050014,159.052517820693,-1.58065567161255,0.11594338932325,0.762117430975978,0.935754008235819,no
z_wll,MT.CO3_heteroplasmic,0.570368197741457,0.362466229813505,132.18296285897,1.57357610399987,0.11797600474398,0.952684798714205,0.92820631529539,no
comp_fluency,MT.DLOOP1_heteroplasmic,-0.43853299773627,0.279200743270699,156.095280793176,-1.57067274463195,0.1182835207763,0.337952916503716,0.927075756931154,no
comp_memory2,MT.CO1_heteroplasmic,-0.483622293462834,0.318109839798095,160.113725427028,-1.52029969827337,0.130407971159411,0.963519497167247,0.884695861635215,no
z_wll,MT.ND2_heteroplasmic,0.61386132881096,0.407760773628151,126.329975605856,1.50544478162767,0.134706019020787,0.952684798714205,0.870612998418718,no
comp_overall2,MT.ND1_heteroplasmic,-0.616529570488389,0.415299394195956,168.062080632373,-1.48454242675222,0.139538243300371,0.643267511003603,0.855306748819663,no
comp_overall,MT.ATP8_heteroplasmic,-0.800038106423368,0.548108536382319,192.047266126055,-1.45963445799232,0.146024364357801,0.762117430975978,0.835574675562505,no
comp_overall,MT.ND4_heteroplasmic,-0.59197976892594,0.411423586340855,139.965598329196,-1.43885715009907,0.152423486195196,0.762117430975978,0.816948109511474,no
z_af,MT.CO3_heteroplasmic,-0.438061558726285,0.307822282498166,143.483178541368,-1.42309892309013,0.15687814558414,0.627512582336559,0.804437552992333,no
comp_overall2,MT.ATP8_heteroplasmic,-0.763087564407091,0.541993051004621,186.497950972817,-1.40792868652588,0.160816877750901,0.643267511003603,0.793668373936871,no
z_moca,MT.ND1_heteroplasmic,-0.96300155070907,0.689474507524683,112.69069025533,-1.39671813852319,0.1652430325507,0.903207465648308,0.781876843422213,no
z_lf,MT.RNR1_heteroplasmic,-0.407006282257461,0.296018596110141,174.290111912417,-1.3749348439786,0.170916585057358,0.416748441077039,0.767215793046284,no
comp_memory2,MT.CO3_heteroplasmic,0.438029957521474,0.318472678144588,145.303987333573,1.37540827700958,0.171121626500595,0.963519497167247,0.766695100474419,no
z_lf,MT.ND1_heteroplasmic,-0.659115970222403,0.48260335585076,170.234394501179,-1.36575090544175,0.173818896529609,0.416748441077039,0.759903011475204,no
comp_memory2,MT.ND2_heteroplasmic,0.474885995616413,0.356055754882351,138.53664907503,1.33374054232974,0.184477521774856,0.963519497167247,0.734056544214241,no
z_lf,MT.RNR2_heteroplasmic,-0.327297409251679,0.247288278334743,160.436399434145,-1.32354599035475,0.187536798484667,0.416748441077039,0.726913502278677,no
z_wld,MT.CYB_heteroplasmic,-0.382872393272893,0.290646956655562,147.485177784904,-1.31731086290583,0.189777317262328,0.979590438687123,0.721755696948195,no
comp_memory,MT.CO3_heteroplasmic,0.450431880595799,0.352044540031065,135.031291208726,1.27947412721144,0.202924261909929,0.947753673522063,0.69266602500372,no
comp_overall,MT.ND6_heteroplasmic,-0.504694707589854,0.395764893399772,136.569809413931,-1.27523869854735,0.204389836804524,0.801428068820333,0.689540703104102,no
z_af,MT.TI_heteroplasmic,1.11096485418044,0.894641215734583,194.31162427719,1.24179932093587,0.215807414980289,0.70794835536531,0.665933637365346,no
comp_overall2,MT.ND2_heteroplasmic,0.355689023167905,0.29014670807099,142.566619084364,1.22589370574861,0.222259795752758,0.740865985842526,0.653139089086127,no
comp_memory2,MT.ND1_heteroplasmic,-0.640958854546019,0.527492639181896,172.953074641723,-1.21510483168087,0.225982302288141,0.963519497167247,0.645925571116132,no
z_lf,MT.DLOOP2_heteroplasmic,-0.552592512036929,0.475762744643064,155.296445572283,-1.16148756551231,0.247225775505999,0.494451551011999,0.60690625212506,no
z_moca,MT.CO3_heteroplasmic,0.442659465632066,0.381192104224338,115.476823364817,1.16125035310688,0.247934896003717,0.903207465648308,0.605662343440783,no
comp_memory,MT.CYB_heteroplasmic,-0.332911647220149,0.287411394231519,146.414561100313,-1.15831053988061,0.248623193467487,0.947753673522063,0.604458359503314,no
z_moca,MT.ND5_heteroplasmic,-0.382364339367186,0.336460217905842,127.986244775653,-1.13643253798935,0.257898967816031,0.903207465648308,0.588550396026852,no
z_af,MT.DLOOP1_heteroplasmic,-0.362336165088079,0.320214745934301,152.420185697849,-1.13154116007643,0.259604538335486,0.70794835536531,0.585687719588039,no
comp_fluency,MT.TF_heteroplasmic,0.831999784476443,0.736955476810182,143.548061325512,1.12896885993391,0.26079413320783,0.651985333019575,0.583702182664521,no
z_mocam,MT.CO3_heteroplasmic,0.424205043914738,0.377882472227264,120.372437836387,1.12258459995365,0.263848094659784,0.903711125950962,0.578646037669271,no
comp_overall,MT.ND1_heteroplasmic,-0.458138967943537,0.417102017599102,165.701537283966,-1.09838588310037,0.273629456525044,0.801428068820333,0.562837152135847,no
comp_overall,MT.CYB_heteroplasmic,-0.224039524474804,0.206846525253393,149.441589950947,-1.08311959410654,0.280499824087117,0.801428068820333,0.552067406771522,no
comp_fluency,MT.RNR1_heteroplasmic,-0.281141086198723,0.269051645845357,166.276286634801,-1.0449335305695,0.297570407242683,0.661267571650407,0.526410260660557,no
z_af,MT.ND6_heteroplasmic,-0.496661149596339,0.475115507547855,134.464119929773,-1.04534821891983,0.297737626692034,0.70794835536531,0.526166277774755,no
z_mocam,MT.ND3_heteroplasmic,1.02674655315842,1.01650984276115,150.346557764463,1.0100704488699,0.314084359959055,0.903711125950962,0.502953689047507,no
z_moca,MT.ATP6_heteroplasmic,0.628285645332403,0.632956236255332,161.053027150515,0.992620989168917,0.322383688293185,0.903207465648308,0.49162694038889,no
z_lf,MT.CYB_heteroplasmic,-0.235782267425324,0.241045511719486,158.0096442578,-0.978164935506922,0.329487994130401,0.518116955867417,0.482160405585636,no
