Outcome,Predictor,Coef,StdError,t_value,p_value,FDR,logPval
first_z_mocam,CR_heteroplasmic,-0.443880624606338,0.198980818773836,-2.23077092225084,0.0270526713340681,0.101833398034973,1.56778984374175
first_z_moca,CR_heteroplasmic,-0.423607762603324,0.19131135170711,-2.21423223882632,0.0281918399540492,0.165995922655333,1.54987657876431
first_z_mocam,tRNA_heteroplasmic,-1.34720104462118,0.629930956471051,-2.13864873726538,0.0339444660116578,0.101833398034973,1.46923101892403
first_comp_overall2,tRNA_heteroplasmic,-0.796642633377192,0.425448916058763,-1.87247540963804,0.0628580586540511,0.377148351924307,1.20163903612233
first_z_mocam,total_heteroplasmic,-0.0950657167366715,0.0514613163086596,-1.84732384547797,0.0665018314113581,0.133003662822716,1.17716639438269
first_z_moca,tRNA_heteroplasmic,-1.09655828077228,0.607904035444789,-1.80383451471901,0.0730925192703056,0.165995922655333,1.13612706908693
first_comp_overall,tRNA_heteroplasmic,-0.728288788006775,0.413565426716982,-1.76100017302744,0.0800363222280305,0.480217933368183,1.09671287596747
first_z_moca,total_heteroplasmic,-0.0863759643082098,0.0495218502682952,-1.74419905234254,0.0829979613276665,0.165995922655333,1.08093257503379
first_z_mocam,Coding_heteroplasmic,-0.135104348702097,0.0845197621508609,-1.59849418957127,0.111857893241521,0.167786839862281,0.951333364537526
first_z_moca,Coding_heteroplasmic,-0.114252709009294,0.0813873053536466,-1.40381486415897,0.162264748061997,0.243397122092995,0.789775820192534
first_z_moca,total_nonsynVar_heteroplasmic,-0.107346884172374,0.0879979585904207,-1.21987925506331,0.2242619923982,0.26911439087784,0.649244323788416
first_z_af,rRNA_heteroplasmic,-0.25739511519927,0.211157820554135,-1.21897031577517,0.224544194018174,0.787404152512891,0.648698169897494
first_comp_overall2,rRNA_heteroplasmic,-0.202816158491204,0.189884511452873,-1.06810269536671,0.28698856292999,0.725321828977828,0.542135410427564
first_comp_overall,rRNA_heteroplasmic,-0.191883420397209,0.184396393311022,-1.04060289331993,0.299537567872179,0.708428483450608,0.523548700832604
first_z_af,total_nonsynVar_heteroplasmic,-0.0684432240721323,0.0665570277162769,-1.02833955211906,0.305251041184003,0.787404152512891,0.515342846040915
first_z_mocam,total_nonsynVar_heteroplasmic,-0.0936401277929083,0.0916688494294546,-1.02150434281354,0.308520030215121,0.370224036258146,0.510716634776584
first_z_wld,CR_heteroplasmic,-0.147588608856824,0.147789386619841,-0.998641460204894,0.319387739885622,0.792961838504969,0.495681758836905
